periodsEnd,runs,printPeriodData,printEveryNPeriods,dataTakingForm
10000,100,0,1,0
Marker,N,bmean,bstdev,econInt,burStr,burFear,Mean_Percent_Acting,StDev_Percent_Acting,Mean_Eq_Percent_Acting,StDev_Eq_Percent_Acting,Mean_Time_to_Equilibrium,StDev_Time_to_Equilibrium,Mean_%_Population_Who_Are_Rabble-Rousers,StDev_%_Population_Who_Are_Rabble-Rousers
45,1000.0,0.6,0.2,0.0,0.2,0.0,1.0000000000000007,6.694896738718451e-16,1.0000000000000007,6.694896738718451e-16,55.97000000000005,0.5587684871413409,0.022979999999999997,0.0046405764183934635
46,1000.0,0.6,0.2,0.0,0.2,0.0,1.0000000000000007,6.694896738718451e-16,1.0000000000000007,6.694896738718451e-16,55.680000000000014,0.5663992238766588,0.02309,0.004780209623060901
47,1000.0,0.6,0.2,0.0,0.2,0.0,0.9999900000000007,0.00010000000000000028,0.9999900000000007,0.00010000000000000028,55.40999999999995,0.5143398239932958,0.023060000000000008,0.00502281662702182
48,1000.0,0.6,0.2,0.0,0.2,0.0,0.9999800000000008,0.0001407052941362898,0.9999800000000008,0.0001407052941362898,55.209999999999965,0.4560480215720689,0.023720000000000005,0.005067384319191099
49,1000.0,0.6,0.2,0.0,0.2,0.0,0.9999800000000008,0.00014070529413628938,0.9999800000000008,0.00014070529413628938,55.03999999999992,0.3458264877015059,0.02222,0.004877447585520008
50,1000.0,0.6,0.2,0.0,0.2,0.0,0.9999800000000006,0.00014070529413628993,0.9999800000000006,0.00014070529413628993,54.90999999999992,0.40439504637835716,0.022669999999999996,0.004748322404446191
51,1000.0,0.6,0.2,0.0,0.2,0.0,0.9999700000000008,0.00017144660799776554,0.9999700000000008,0.00017144660799776554,54.779999999999916,0.46231739501923713,0.022579999999999985,0.005280381069811557
52,1000.0,0.6,0.2,0.0,0.2,0.0,0.9999600000000008,0.00019694638556693277,0.9999600000000008,0.00019694638556693277,54.56999999999991,0.4975698519562434,0.023810000000000005,0.0038525735855818805
53,1000.0,0.6,0.2,0.0,0.2,0.0,0.9999400000000009,0.00023868325657594227,0.9999400000000009,0.00023868325657594227,54.40999999999993,0.4943110704237104,0.022280000000000008,0.004952460871816019
54,1000.0,0.6,0.2,0.0,0.2,0.0,0.9999300000000008,0.00025643239997624273,0.9999300000000008,0.00025643239997624273,54.28999999999993,0.4776838056516233,0.023749999999999997,0.004837511255957465
55,1000.0,0.6,0.2,0.0,0.2,0.0,0.9999200000000008,0.00027265992434429123,0.9999200000000008,0.00027265992434429123,54.209999999999916,0.40936018074033254,0.022320000000000003,0.004554673479520844
56,1000.0,0.6,0.2,0.0,0.2,0.0,0.9999400000000009,0.00023868325657594227,0.9999400000000009,0.00023868325657594227,54.19999999999992,0.40201512610368495,0.022810000000000004,0.0054581881775748785
57,1000.0,0.6,0.2,0.0,0.2,0.0,0.9999700000000008,0.00017144660799776554,0.9999700000000008,0.00017144660799776554,54.14999999999992,0.35887028128263654,0.022680000000000002,0.004672896274898428
58,1000.0,0.6,0.2,0.0,0.2,0.0,0.9999400000000009,0.00023868325657594244,0.9999400000000009,0.00023868325657594244,54.06999999999992,0.25643239997624295,0.022460000000000008,0.004924521204229818
59,1000.0,0.6,0.2,0.0,0.2,0.0,0.9999400000000009,0.00023868325657594238,0.9999400000000009,0.00023868325657594238,54.01999999999993,0.2,0.021929999999999995,0.004907744858482316
60,1000.0,0.6,0.2,0.0,0.2,0.0,0.9999300000000008,0.0002564323999762428,0.9999300000000008,0.0002564323999762428,54.009999999999934,0.17378728435078397,0.02264999999999999,0.0049530625155380665
61,1000.0,0.6,0.2,0.0,0.30000000000000004,0.0,1.0000000000000007,6.694896738718451e-16,1.0000000000000007,6.694896738718451e-16,59.38000000000001,2.2864555075222417,0.022899999999999997,0.004785288904443481
62,1000.0,0.6,0.2,0.0,0.30000000000000004,0.0,1.0000000000000007,6.694896738718451e-16,1.0000000000000007,6.694896738718451e-16,57.949999999999974,1.4590366269521395,0.02282,0.004643622758497112
63,1000.0,0.6,0.2,0.0,0.30000000000000004,0.0,1.0000000000000007,6.694896738718451e-16,1.0000000000000007,6.694896738718451e-16,57.1,0.7977240352174653,0.02259999999999999,0.0050432473104482425
64,1000.0,0.6,0.2,0.0,0.30000000000000004,0.0,1.0000000000000007,6.694896738718451e-16,1.0000000000000007,6.694896738718451e-16,56.36000000000006,0.5777000724747868,0.02381000000000001,0.004505204622086401
65,1000.0,0.6,0.2,0.0,0.30000000000000004,0.0,0.9999900000000007,0.00010000000000000015,0.9999900000000007,0.00010000000000000015,56.08000000000004,0.6463573143221771,0.022120000000000008,0.004245687056986017
66,1000.0,0.6,0.2,0.0,0.30000000000000004,0.0,1.0000000000000007,6.694896738718451e-16,1.0000000000000007,6.694896738718451e-16,55.81000000000003,0.5978919195596705,0.022780000000000012,0.004743054464853389
67,1000.0,0.6,0.2,0.0,0.30000000000000004,0.0,0.9999900000000007,0.00010000000000000021,0.9999900000000007,0.00010000000000000021,55.419999999999966,0.516006420757171,0.022749999999999996,0.0046674782844008545
68,1000.0,0.6,0.2,0.0,0.30000000000000004,0.0,0.9999800000000008,0.00014070529413628974,0.9999800000000008,0.00014070529413628974,55.16999999999995,0.40339468604243267,0.02218,0.0049551116347799195
69,1000.0,0.6,0.2,0.0,0.30000000000000004,0.0,0.9999800000000008,0.00014070529413628963,0.9999800000000008,0.00014070529413628963,55.00999999999993,0.3331817837308952,0.023320000000000007,0.00456796044491003
70,1000.0,0.6,0.2,0.0,0.30000000000000004,0.0,0.9999900000000007,0.00010000000000000018,0.9999900000000007,0.00010000000000000018,54.90999999999991,0.32082595426382365,0.02253000000000001,0.005054161201875683
71,1000.0,0.6,0.2,0.0,0.30000000000000004,0.0,0.9999800000000008,0.00014070529413628963,0.9999800000000008,0.00014070529413628963,54.70999999999992,0.49838121792844364,0.02277,0.004819688157899218
